"","gene_symbol"
"1","ELF5"
"2","TCF7L2"
"3","PLAG1"
"4","NKX2-5"
"5","NRF1"
"6","GATA2"
"7","KLF4"
"8","SPI1"
"9","ESR2"
"10","FOS"
"11","VDR"
"12","HNF1A"
"13","EGR1"
"14","NFATC2"
"15","NHLH1"
"16","SRY"
"17","FOSL1"
"18","FOXA1"
"19","CEBPA"
"20","RELA"
"21","PAX5"
"22","NOBOX"
"23","GATA1"
"24","CEBPB"
"25","HIF1A"
"26","CRX"
"27","CREB1"
"28","FLI1"
"29","SOX5"
"30","FOXC1"
"31","EBF1"
"32","JUN"
"33","NR4A2"
"34","NFYA"
"35","ELF1"
"36","SMAD4"
"37","PAX2"
"38","RUNX2"
"39","FOXP2"
"40","SRF"
"41","SMAD2"
"42","ESR1"
"43","GABPA"
"44","EHF"
"45","BATF"
"46","MEIS1"
"47","TP63"
"48","SOX9"
"49","FOXP1"
"50","INSM1"
"51","MAF"
"52","MYOG"
"53","FOXA2"
"54","NR3C1"
"55","KLF5"
"56","MYC"
"57","FOXH1"
"58","TLX1"
"59","SOX2"
"60","NFE2L2"
"61","NKX3-2"
"62","HNF4A"
"63","SOX10"
"64","ARID3A"
"65","SP1"
"66","USF2"
"67","REST"
"68","SOX17"
"69","CTCF"
"70","ATOH1"
"71","HINFP"
"72","PDX1"
"73","TCF3"
"74","FOXD1"
"75","STAT1"
"76","PAX6"
"77","EGR2"
"78","POU5F1"
"79","PBX1"
"80","IRF1"
"81","NR5A2"
"82","BHLHE40"
"83","MYB"
"84","MYOD1"
"85","JUNB"
"86","E2F4"
"87","BCL6"
"88","TP53"
"89","SREBF1"
"90","HAND1"
"91","MEF2C"
"92","TFAP2A"
"93","PPARG"
"94","NKX3-1"
"95","HOXA5"
"96","BACH1"
"97","PAX4"
"98","TFAP2C"
"99","FOXO1"
"100","NR1H2"
"101","FOXO3"
"102","MEF2A"
"103","YY1"
"104","STAT5B"
"105","HNF1B"
"106","USF1"
"107","SMAD3"
"108","HSF1"
"109","HLTF"
"110","ESRRA"
"111","FOXI1"
"112","MAFB"
"113","NR1H3"
"114","IRF2"
"115","GFI1"
"116","DDIT3"
"117","FOXF2"
"118","STAT3"
"119","GATA4"
"120","T"
"121","GATA3"
"122","TAL1"
"123","MAX"
"124","TCF12"
"125","FOXD3"
"126","EN1"
"127","NFE2L1"
"128","RUNX1"
"129","CDX2"
"130","SREBF2"
"131","RXRA"
"132","AR"
"133","ARNT"
"134","AHR"
"135","NFIL3"
"136","POU2F2"
"137","NFIC"
"138","TEAD1"
"139","PRDM1"
"140","ELK1"
"141","REL"
"142","NFKB1"
"143","PLAGL1"
"144","NFIX"
"145","ARNTL"
"146","FIGLA"
"147","HSF4"
"148","WT1"
"149","BACH2"
"150","NEUROD2"
"151","CUX2"
"152","ASCL1"
"153","ARID5B"
"154","FOXF1"
"155","THRA"
"156","NRL"
"157","FOXK1"
"158","ELK3"
"159","ZBTB7B"
"160","MEF2D"
"161","SOX4"
"162","NFATC3"
"163","MTF1"
"164","CEBPG"
"165","RARG"
"166","ATF4"
"167","ATF5"
"168","ATF3"
"169","ATF7"
"170","FOSB"
"171","DACH1"
"172","DMRT1"
"173","FUBP1"
"174","YBX1"
"175","POU3F1"
"176","ETV2"
"177","ATF2"
"178","NFIA"
"179","VAX2"
"180","HES1"
"181","PPARA"
"182","SOX11"
"183","ETV5"
"184","GATA6"
"185","BARX2"
"186","MITF"
"187","TFAP2E"
"188","MYF6"
"189","CDX1"
"190","E2F7"
"191","SOX8"
"192","PAX3"
"193","SP3"
"194","PAX9"
"195","NFATC4"
"196","CREB3L4"
"197","SMAD1"
"198","TFAP2D"
"199","AIRE"
"200","ZNF350"
"201","MLX"
"202","HHEX"
"203","NEUROG3"
"204","TFE3"
"205","GLI1"
"206","GLI3"
"207","GATA5"
"208","NFE2L3"
"209","GPER1"
"210","NACC2"
"211","EP300"
"212","RAD21"
"213","STAG1"
"214","STAG2"
"215","CHCHD3"
"216","ZNF750"
"217","SOHLH2"
"218","BARHL2"
"219","BHLHE22"
"220","MYOCD"
"221","ARID3C"
"222","DDN"
"223","ZNF217"
"224","MSGN1"
"225","AKNA"
"226","CREBBP"
"227","CDX4"
"228","ZNF746"
"229","HEYL"
"230","CC2D1A"
"231","CC2D1B"
"232","GLIS2"
"233","GLI2"
"234","MEIS3"
"235","PROX1"
"236","FOXC2"
"237","ZFAT"
"238","YBX3"
"239","ZNF639"
"240","FEZF2"
"241","HNRNPK"
"242","ZBTB7A"
"243","HDAC5"
"244","PPARD"
"245","KLF15"
"246","BHLHA15"
"247","BTG2"
"248","SALL1"
"249","SATB1"
"250","POU1F1"
"251","TWIST1"
"252","ZGPAT"
"253","NFIB"
"254","BMPR1A"
"255","ZNF536"
"256","OSR2"
"257","GLIS3"
"258","MKX"
"259","HMGA1"
"260","MYF5"
"261","IFI16"
"262","FUBP3"
"263","BCL11A"
"264","NR5A1"
"265","HOXA7"
"266","ZKSCAN3"
"267","OTX1"
"268","HCFC1"
"269","SUB1"
"270","TARDBP"
"271","RFX6"
"272","LEF1"
"273","PHB"
"274","SARNP"
"275","EPAS1"
"276","CTCFL"
"277","SOX12"
"278","MESP1"
"279","BARHL1"
"280","HES6"
"281","C1ORF85"
"282","HDGF"
"283","HMGA2"
"284","PGR"
"285","CSRNP1"
"286","CSRNP2"
"287","CSRNP3"
"288","PTH"
"289","POU4F2"
"290","PRDM5"
"291","TBX15"
"292","TBX18"
"293","BSX"
"294","OVOL1"
"295","CREB3L2"
"296","MEOX2"
"297","MSX2"
"298","SIX3"
"299","FOXP3"
"300","EBF2"
"301","EBF3"
"302","TFEB"
"303","ARNTL2"
"304","MESP2"
"305","MED1"
"306","SOHLH1"
"307","DLX3"
"308","ONECUT1"
"309","MSX1"
"310","KLF17"
"311","SKIL"
"312","RBPJ"
"313","ZBTB4"
"314","HOXD13"
"315","LMO2"
"316","NR4A1"
"317","HEY1"
"318","E2F8"
"319","RUNX3"
"320","EAF2"
"321","NFATC1"
"322","PLSCR1"
"323","GZF1"
"324","CUX1"
"325","NEUROD1"
"326","ARX"
"327","ZFPM1"
"328","TCF21"
"329","VAX1"
"330","HOXA10"
"331","NKX6-1"
"332","TBX20"
"333","IKZF1"
"334","GRHL3"
"335","TLE4"
"336","PITX2"
"337","PAX7"
"338","MAFA"
"339","OLIG2"
"340","HOXA2"
"341","MYPOP"
"342","JARID2"
"343","FOXJ1"
"344","YLPM1"
"345","BATF3"
"346","ETV4"
"347","PBX3"
"348","POU4F3"
"349","GCM1"
"350","DLX5"
"351","IGHMBP2"
"352","SIX2"
"353","POU3F2"
"354","ISL1"
"355","IRF4"
"356","SOX7"
"357","ESRRG"
"358","CLOCK"
"359","HAND2"
"360","MAZ"
"361","FOXL2"
"362","MEOX1"
"363","KLF11"
"364","SIX4"
"365","DLX2"
"366","HELT"
"367","MLXIPL"
"368","TEF"
"369","FOXP4"
"370","NPAS4"
"371","HSF2"
"372","ZNF219"
"373","SNAI1"
"374","HOXB5"
"375","PURB"
"376","NR2C1"
"377","POU4F1"
"378","RXRB"
"379","ETV1"
"380","KCNH8"
"381","GMEB1"
"382","NR2F6"
"383","BHLHE41"
"384","ETS2"
"385","POU2F3"
"386","NEUROD6"
"387","OTX2"
"388","MXD1"
"389","SOX18"
"390","SIX6"
"391","ZNF467"
"392","NKX2-2"
"393","ZBTB16"
"394","FOXK2"
"395","FERD3L"
"396","BCL11B"
"397","GRHL1"
"398","NKX2-8"
"399","EBF4"
"400","MIXL1"
"401","ZC3H8"
"402","DMBX1"
"403","CREB3L1"
"404","JDP2"
"405","GLIS1"
"406","KLF16"
"407","ONECUT3"
"408","DLX4"
"409","ELF3"
"410","TXK"
"411","CARF"
"412","ASCL3"
"413","NFAT5"
"414","PHOX2B"
"415","ZBTB20"
"416","GSX1"
"417","HOXC13"
"418","TBX3"
"419","RFX4"
"420","TBX5"
"421","NR1H4"
"422","HEY2"
"423","ONECUT2"
"424","GCFC2"
"425","CREB3L3"
"426","PITX3"
"427","TEAD2"
"428","SCRT2"
"429","NR1I2"
"430","TBX1"
"431","TBX2"
"432","ETV7"
"433","NR2E1"
"434","PROP1"
"435","ZIC2"
"436","ZIC3"
"437","ZIC1"
"438","PHOX2A"
"439","STK16"
"440","NR4A3"
"441","PKNOX1"
"442","SOX15"
"443","HES5"
"444","FOXJ2"
"445","SCX"
"446","MYBL2"
"447","MEIS2"
"448","PATZ1"
"449","CGGBP1"
"450","SOX14"
"451","KLF13"
"452","RAX"
"453","ESX1"
"454","SNAI3"
"455","SNAI2"
"456","ETV6"
"457","AEBP1"
"458","FOXE1"
"459","RCOR1"
"460","ZNF281"
"461","NFYC"
"462","IKZF3"
"463","SOX30"
"464","AEBP2"
"465","RXRG"
"466","CEBPE"
"467","HMX1"
"468","PREB"
"469","KCNIP3"
"470","MSC"
"471","KLF12"
"472","KLF9"
"473","ALX4"
"474","SIX1"
"475","TP73"
"476","IRF7"
"477","ALX1"
"478","PLAGL2"
"479","POU3F3"
"480","BCL6B"
"481","HOXC11"
"482","SOX1"
"483","MEF2B"
"484","NR0B1"
"485","CREB3"
"486","MNT"
"487","NR6A1"
"488","MYT1"
"489","TCF4"
"490","ELF4"
"491","HOXD9"
"492","PITX1"
"493","ARNT2"
"494","TEAD4"
"495","ZSCAN21"
"496","NR1D1"
"497","NR2F2"
"498","CEBPD"
"499","ARID3B"
"500","TGIF1"
"501","PCGF6"
"502","CREB5"
"503","NR3C2"
"504","ZNF292"
"505","NFKB2"
"506","ZNF148"
"507","RELB"
"508","NR1I3"
"509","NKX6-2"
"510","MYBL1"
"511","NFX1"
"512","HOXD8"
"513","RARA"
"514","TCF7"
"515","MZF1"
"516","ZFP90"
"517","TFAP2B"
"518","TFAP4"
"519","ATF1"
"520","HIVEP1"
"521","DBP"
"522","XBP1"
"523","PTF1A"
"524","CEBPZ"
"525","E4F1"
"526","RARB"
"527","TFAM"
"528","POU2F1"
"529","NKX2-1"
"530","ARHGAP35"
