"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"NR4A2",3.66985062894991e-188,1.6746885970868,0.372,0.01,6.99913911953327e-184,"N_DA_Neuroblast","NR4A2"
"NRN1",4.39570554187438e-132,2.49149370877105,0.924,0.219,8.38348960946283e-128,"N_DA_Neuroblast","NRN1"
"GREM2",1.98649701060715e-129,1.71467949472968,0.535,0.052,3.78864709862996e-125,"N_DA_Neuroblast","GREM2"
"POU2F2",5.79949689064284e-112,1.9226893406816,0.733,0.132,1.1060800469834e-107,"N_DA_Neuroblast","POU2F2"
"SLC17A6",2.64432661019728e-95,1.70390841901499,0.471,0.056,5.04325971096825e-91,"N_DA_Neuroblast","SLC17A6"
"RGS4",5.36216580203783e-93,1.75609250092483,0.5,0.067,1.02267226176466e-88,"N_DA_Neuroblast","RGS4"
"PHLDA1",4.44430625193629e-81,2.11696517089946,0.721,0.194,8.47618088369289e-77,"N_DA_Neuroblast","PHLDA1"
"STMN2",1.9441419654563e-80,1.39902673842932,0.959,0.344,3.70786755651825e-76,"N_DA_Neuroblast","STMN2"
"MIAT",3.01522693435215e-77,1.60928074665494,0.983,0.565,5.75064080919643e-73,"N_DA_Neuroblast","MIAT"
"CXCR4",6.0383110985082e-77,2.49539720605947,0.698,0.2,1.15162669270748e-72,"N_DA_Neuroblast","CXCR4"
"DCX",2.2013673001451e-76,1.43037498923422,0.977,0.484,4.19844771483673e-72,"N_DA_Neuroblast","DCX"
"SOX4",2.71500688982238e-76,1.45095484058866,0.994,0.947,5.17806114026925e-72,"N_DA_Neuroblast","SOX4"
"TAGLN3",4.61072775879479e-76,1.66733298444416,0.93,0.478,8.79357998157342e-72,"N_DA_Neuroblast","TAGLN3"
"MAP1B",4.91266316442267e-74,1.27107969117105,0.994,0.973,9.36943118718692e-70,"N_DA_Neuroblast","MAP1B"
"FAM57B",1.08963636330996e-68,1.34179940852744,0.797,0.253,2.07815447210475e-64,"N_DA_Neuroblast","FAM57B"
"GAP43",5.92825513352764e-68,1.4402237794275,0.849,0.308,1.13063681906639e-63,"N_DA_Neuroblast","GAP43"
"MLLT11",7.83685241741592e-68,1.18889681569004,0.988,0.951,1.49464449304956e-63,"N_DA_Neuroblast","MLLT11"
"C1QL1",1.557845223494e-66,1.24186718466293,0.378,0.053,2.97112241024776e-62,"N_DA_Neuroblast","C1QL1"
"TUBA1A",4.44395666337977e-66,0.942245569447698,1,0.994,8.47551414839789e-62,"N_DA_Neuroblast","TUBA1A"
"TUBB2B",4.98041567863145e-63,0.878580899647939,1,0.994,9.49864878228591e-59,"N_DA_Neuroblast","TUBB2B"
"NHLH2",2.57822269755893e-62,1.55760930978211,0.314,0.037,4.91718632878438e-58,"N_DA_Neuroblast","NHLH2"
"CELF3",2.95971146378391e-62,1.40354316982501,0.605,0.151,5.64476170372867e-58,"N_DA_Neuroblast","CELF3"
"NEUROD1",1.25432201244539e-60,1.4011705032991,0.378,0.056,2.39224294213585e-56,"N_DA_Neuroblast","NEUROD1"
"CD24",5.03821443532286e-59,0.89187998434775,0.994,0.972,9.60888257104775e-55,"N_DA_Neuroblast","CD24"
"PCSK2",1.88211618705033e-58,1.67069249308208,0.384,0.063,3.5895719919424e-54,"N_DA_Neuroblast","PCSK2"
"NHLH1",1.26304614464294e-56,1.50546063693613,0.39,0.064,2.40888160706301e-52,"N_DA_Neuroblast","NHLH1"
"H3F3B",9.31080336254195e-54,0.643664559526173,1,0.998,1.775756417304e-49,"N_DA_Neuroblast","H3F3B"
"GRIA2",1.82102655705911e-52,1.42434241205198,0.465,0.105,3.47306184962314e-48,"N_DA_Neuroblast","GRIA2"
"EBF1",2.16783197678102e-52,1.20107110653318,0.541,0.131,4.13448914611675e-48,"N_DA_Neuroblast","EBF1"
"NOVA1",7.02653862365413e-52,1.08765018077935,0.936,0.748,1.34010144630332e-47,"N_DA_Neuroblast","NOVA1"
"ST18",2.33555667706206e-51,1.24025533463632,0.401,0.076,4.45437369449277e-47,"N_DA_Neuroblast","ST18"
"MAP2",7.93659633665342e-51,1.4485715697597,0.837,0.51,1.51366765332654e-46,"N_DA_Neuroblast","MAP2"
"CADM2",3.05323966067077e-50,1.50727663995433,0.663,0.253,5.8231386808313e-46,"N_DA_Neuroblast","CADM2"
"STMN4",5.50312369044985e-50,1.12449915532716,0.669,0.206,1.0495557502426e-45,"N_DA_Neuroblast","STMN4"
"GNG3",9.93542844105792e-50,1.1532999805929,0.738,0.271,1.89488491227857e-45,"N_DA_Neuroblast","GNG3"
"EBF3",1.01801411926051e-48,1.33567306192814,0.436,0.096,1.94155652825365e-44,"N_DA_Neuroblast","EBF3"
"SRRM4",1.41737874962262e-48,1.16281475411265,0.453,0.101,2.70322475128025e-44,"N_DA_Neuroblast","SRRM4"
"ELAVL3",1.27510730492244e-47,1.17680405171704,0.797,0.382,2.43188465194807e-43,"N_DA_Neuroblast","ELAVL3"
"RAB3A",3.48665854343407e-47,1.28623347845437,0.634,0.209,6.64975517403745e-43,"N_DA_Neuroblast","RAB3A"
"CELF4",1.58507741805875e-46,1.44631407222262,0.622,0.223,3.02305965172165e-42,"N_DA_Neuroblast","CELF4"
"THSD7A",2.18241938028084e-46,1.26016253164972,0.576,0.175,4.16231024207161e-42,"N_DA_Neuroblast","THSD7A"
"ELAVL4",7.0268227758101e-45,1.39395916769538,0.756,0.374,1.3401556398025e-40,"N_DA_Neuroblast","ELAVL4"
"RUNDC3A",8.15968443407187e-45,1.19214671821934,0.471,0.122,1.55621501526619e-40,"N_DA_Neuroblast","RUNDC3A"
