"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"FREM1",0,1.30949888139488,0.61,0.135,0,"0-P_MesenFP_LMX1A_Early","FREM1"
"LGI1",0,1.28795863707612,0.705,0.214,0,"0-P_MesenFP_LMX1A_Early","LGI1"
"ADAMTS9",0,1.24017876853621,0.514,0.096,0,"0-P_MesenFP_LMX1A_Early","ADAMTS9"
"SYT4",0,1.23393904011404,0.952,0.461,0,"0-P_MesenFP_LMX1A_Early","SYT4"
"PDGFC",0,1.08978873979615,0.686,0.223,0,"0-P_MesenFP_LMX1A_Early","PDGFC"
"TTR",0,1.03590634086937,0.47,0.118,0,"0-P_MesenFP_LMX1A_Early","TTR"
"TPBG",0,1.02811570146569,0.904,0.451,0,"0-P_MesenFP_LMX1A_Early","TPBG"
"DOCK10",0,0.959953014306443,0.479,0.127,0,"0-P_MesenFP_LMX1A_Early","DOCK10"
"FLRT2",0,0.942742936105174,0.463,0.128,0,"0-P_MesenFP_LMX1A_Early","FLRT2"
"LDB2",0,0.941512212028785,0.679,0.322,0,"0-P_MesenFP_LMX1A_Early","LDB2"
"CLSTN2",0,0.940273910799049,0.347,0.065,0,"0-P_MesenFP_LMX1A_Early","CLSTN2"
"SMIM32",0,0.933885248677273,0.564,0.199,0,"0-P_MesenFP_LMX1A_Early","SMIM32"
"SLIT2",0,0.845529104692432,0.847,0.398,0,"0-P_MesenFP_LMX1A_Early","SLIT2"
"FAM198B",0,0.81599474486918,0.481,0.159,0,"0-P_MesenFP_LMX1A_Early","FAM198B"
"GBX2",0,0.807750270546856,0.363,0.119,0,"0-P_MesenFP_LMX1A_Early","GBX2"
"ID4",0,0.805684322701553,0.787,0.4,0,"0-P_MesenFP_LMX1A_Early","ID4"
"HES1",0,0.798019873439637,0.904,0.548,0,"0-P_MesenFP_LMX1A_Early","HES1"
"SPATS2L",0,0.797993871112475,0.787,0.456,0,"0-P_MesenFP_LMX1A_Early","SPATS2L"
"CPE",0,0.699363684443394,0.818,0.573,0,"0-P_MesenFP_LMX1A_Early","CPE"
"EN1",0,0.693871792483379,0.762,0.415,0,"0-P_MesenFP_LMX1A_Early","EN1"
"SPRY1",0,0.68397380778497,0.625,0.343,0,"0-P_MesenFP_LMX1A_Early","SPRY1"
"MCUB",0,0.679471393955337,0.509,0.27,0,"0-P_MesenFP_LMX1A_Early","MCUB"
"MYO10",0,0.678687825746652,0.746,0.481,0,"0-P_MesenFP_LMX1A_Early","MYO10"
"ZFP36L2",0,0.664381414899779,0.787,0.5,0,"0-P_MesenFP_LMX1A_Early","ZFP36L2"
"FOXA1",0,0.640985310814829,0.576,0.287,0,"0-P_MesenFP_LMX1A_Early","FOXA1"
"DDC",0,0.631312039794088,0.658,0.316,0,"0-P_MesenFP_LMX1A_Early","DDC"
"BRI3",0,0.620037952582,0.814,0.619,0,"0-P_MesenFP_LMX1A_Early","BRI3"
"MFAP2",0,0.608858685701526,0.64,0.419,0,"0-P_MesenFP_LMX1A_Early","MFAP2"
"DMRTA1",0,0.592618180995862,0.477,0.204,0,"0-P_MesenFP_LMX1A_Early","DMRTA1"
"CDH2",0,0.576527664724423,0.813,0.633,0,"0-P_MesenFP_LMX1A_Early","CDH2"
