"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"TTR",0,1.33637551909161,0.476,0.095,0,"0-P_MesenFP_LMX1A_Early","TTR"
"LGI1",0,1.21509795122376,0.712,0.252,0,"0-P_MesenFP_LMX1A_Early","LGI1"
"FREM1",0,1.2007953792105,0.605,0.171,0,"0-P_MesenFP_LMX1A_Early","FREM1"
"ADAMTS9",0,1.18179958089063,0.511,0.116,0,"0-P_MesenFP_LMX1A_Early","ADAMTS9"
"SYT4",0,1.15722637185562,0.951,0.498,0,"0-P_MesenFP_LMX1A_Early","SYT4"
"SMIM32",0,1.11459250711766,0.556,0.18,0,"0-P_MesenFP_LMX1A_Early","SMIM32"
"PDGFC",0,1.03714368669556,0.684,0.244,0,"0-P_MesenFP_LMX1A_Early","PDGFC"
"CLSTN2",0,0.981274017407787,0.348,0.058,0,"0-P_MesenFP_LMX1A_Early","CLSTN2"
"CPE",0,0.924382363735477,0.819,0.522,0,"0-P_MesenFP_LMX1A_Early","CPE"
"LDB2",0,0.909178498468756,0.681,0.345,0,"0-P_MesenFP_LMX1A_Early","LDB2"
"DOCK10",0,0.890949045962713,0.471,0.148,0,"0-P_MesenFP_LMX1A_Early","DOCK10"
"TPBG",0,0.883869851028307,0.908,0.533,0,"0-P_MesenFP_LMX1A_Early","TPBG"
"SPATS2L",0,0.879377716847633,0.789,0.447,0,"0-P_MesenFP_LMX1A_Early","SPATS2L"
"FLRT2",0,0.878037806296354,0.457,0.149,0,"0-P_MesenFP_LMX1A_Early","FLRT2"
"FAM198B",0,0.840076571364587,0.477,0.155,0,"0-P_MesenFP_LMX1A_Early","FAM198B"
"EN1",0,0.821119032270422,0.757,0.425,0,"0-P_MesenFP_LMX1A_Early","EN1"
"PEG10",0,0.78298045534718,0.93,0.726,0,"0-P_MesenFP_LMX1A_Early","PEG10"
"ID4",0,0.77512341817962,0.781,0.422,0,"0-P_MesenFP_LMX1A_Early","ID4"
"SLIT2",0,0.770826755138105,0.84,0.408,0,"0-P_MesenFP_LMX1A_Early","SLIT2"
"GBX2",0,0.762356227877323,0.356,0.135,0,"0-P_MesenFP_LMX1A_Early","GBX2"
"DDC",0,0.755032850876637,0.65,0.292,0,"0-P_MesenFP_LMX1A_Early","DDC"
"HES1",0,0.752596001072413,0.905,0.588,0,"0-P_MesenFP_LMX1A_Early","HES1"
"NRCAM",0,0.747736355989696,0.54,0.269,0,"0-P_MesenFP_LMX1A_Early","NRCAM"
"FOXA1",0,0.717336507526878,0.566,0.264,0,"0-P_MesenFP_LMX1A_Early","FOXA1"
"PLCL1",0,0.681767051506073,0.308,0.087,0,"0-P_MesenFP_LMX1A_Early","PLCL1"
"BRI3",0,0.636839861067435,0.809,0.617,0,"0-P_MesenFP_LMX1A_Early","BRI3"
"DMRTA1",0,0.621694064864022,0.481,0.21,0,"0-P_MesenFP_LMX1A_Early","DMRTA1"
"ZFP36L2",0,0.585852032377048,0.784,0.548,0,"0-P_MesenFP_LMX1A_Early","ZFP36L2"
"CDH2",0,0.566477012068293,0.81,0.664,0,"0-P_MesenFP_LMX1A_Early","CDH2"
"PON2",0,0.547502530038477,0.815,0.623,0,"0-P_MesenFP_LMX1A_Early","PON2"
"TFF3",0,0.510741076873831,0.791,0.49,0,"0-P_MesenFP_LMX1A_Early","TFF3"
"CD63",0,0.483954474516657,0.911,0.849,0,"0-P_MesenFP_LMX1A_Early","CD63"
"VIM",0,0.466101229588515,1,0.995,0,"0-P_MesenFP_LMX1A_Early","VIM"
"FTL",0,0.252967504573503,0.999,0.999,0,"0-P_MesenFP_LMX1A_Early","FTL"
"MYO10",2.03890298962193e-287,0.55558213636312,0.745,0.57,4.51209231603332e-283,"0-P_MesenFP_LMX1A_Early","MYO10"
"FOXA2",5.41906554794859e-283,0.515721020344606,0.711,0.457,1.19923920576102e-278,"0-P_MesenFP_LMX1A_Early","FOXA2"
"FABP7",4.01936942390964e-269,0.336558081043042,0.96,0.802,8.89486453511204e-265,"0-P_MesenFP_LMX1A_Early","FABP7"
"SPRY1",2.12014164627689e-245,0.583098234103002,0.617,0.382,4.69187346321075e-241,"0-P_MesenFP_LMX1A_Early","SPRY1"
"H1FX",1.23376078072854e-229,0.480960613330426,0.839,0.769,2.73031260775225e-225,"0-P_MesenFP_LMX1A_Early","H1FX"
"PRTG",1.61557494077331e-222,0.366471474249821,0.883,0.706,3.57526734393133e-218,"0-P_MesenFP_LMX1A_Early","PRTG"
"FSTL1",4.68610398142476e-217,0.588089105379062,0.59,0.416,1.0370348110893e-212,"0-P_MesenFP_LMX1A_Early","FSTL1"
"LMX1B",2.67811196124296e-215,0.571319304207782,0.271,0.102,5.92666177023066e-211,"0-P_MesenFP_LMX1A_Early","LMX1B"
"SERPINF1",4.65716311193665e-212,0.559517426059121,0.47,0.254,1.03063019667158e-207,"0-P_MesenFP_LMX1A_Early","SERPINF1"
"FOXJ1",8.47484444884801e-208,0.527961462999073,0.475,0.265,1.87548307653007e-203,"0-P_MesenFP_LMX1A_Early","FOXJ1"
"MCUB",1.86841500022217e-205,0.586902310017675,0.512,0.325,4.13480239549166e-201,"0-P_MesenFP_LMX1A_Early","MCUB"
"PIFO",4.13140883850222e-204,0.58919286251801,0.364,0.172,9.14280775960542e-200,"0-P_MesenFP_LMX1A_Early","PIFO"
"AK4",1.4015262210767e-200,0.61709317172167,0.457,0.257,3.10157752724274e-196,"0-P_MesenFP_LMX1A_Early","AK4"
"PLXDC2",3.04964563219022e-198,0.57153172523964,0.308,0.133,6.74886578403696e-194,"0-P_MesenFP_LMX1A_Early","PLXDC2"
"EXOC5",3.31849824853055e-198,0.553653091414036,0.548,0.367,7.34383662399812e-194,"0-P_MesenFP_LMX1A_Early","EXOC5"
"KITLG",3.6351932045853e-197,0.547758168305844,0.267,0.103,8.04468256174727e-193,"0-P_MesenFP_LMX1A_Early","KITLG"
"PTOV1",7.56381248504248e-195,0.424412950636432,0.783,0.681,1.6738717029399e-190,"0-P_MesenFP_LMX1A_Early","PTOV1"
"PLEKHA5",2.33084495961914e-191,0.397799914605456,0.723,0.541,5.15815989563715e-187,"0-P_MesenFP_LMX1A_Early","PLEKHA5"
"CALD1",4.22258821126691e-190,0.387973461256068,0.827,0.721,9.34458771153366e-186,"0-P_MesenFP_LMX1A_Early","CALD1"
"MT1X",5.12507898979769e-188,0.365903906329642,0.471,0.29,1.13417998044223e-183,"0-P_MesenFP_LMX1A_Early","MT1X"
"ARL4A",2.0254798693029e-182,0.384209831661638,0.798,0.664,4.48238695076733e-178,"0-P_MesenFP_LMX1A_Early","ARL4A"
"NTN1",1.56761459619833e-177,0.395045372531276,0.584,0.368,3.46913110138691e-173,"0-P_MesenFP_LMX1A_Early","NTN1"
"MFAP2",3.76557900868748e-177,0.494910371206933,0.63,0.489,8.3332263462254e-173,"0-P_MesenFP_LMX1A_Early","MFAP2"
"WNT5A",3.64490908388532e-176,0.372771420616006,0.543,0.316,8.06618380263822e-172,"0-P_MesenFP_LMX1A_Early","WNT5A"
"YAP1",7.93084872217116e-172,0.527238034160878,0.517,0.351,1.75509682221648e-167,"0-P_MesenFP_LMX1A_Early","YAP1"
