,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,n_cells
AL669831.5,0.0,0.059784297,0,0.062031906,0.06594195,0.94070476,False,532
LINC00115,0.0,0.03235568,0,0.033405058,0.035637572,0.9373551,False,313
FAM41C,0.0,0.010009311,0,0.010142293,0.010757935,0.94277316,False,84
AL645608.3,0.0,0.028514897,0,0.02902198,0.03135343,0.9256397,False,334
AL645608.5,0.0,0.011793917,0,0.012353623,0.012711803,0.97182304,False,152
NOC2L,0.0,0.36681408,0,0.39320165,0.45280278,0.8683729,False,3020
KLHL17,0.0,0.02766139,0,0.0280612,0.03040143,0.9230224,False,270
AL645608.8,0.0,0.012841403,0,0.013763317,0.013863552,0.9927699,False,109
HES4,1.0,3.0268855,1,18.56374,7.5702333,2.4522016,True,7579
ISG15,0.0,0.39967412,0,0.5590129,0.4993924,1.1193861,False,2552
AGRN,0.0,0.29073557,0,0.3278071,0.3487136,0.9400467,False,2544
C1orf159,0.0,0.11495189,0,0.11966625,0.12874335,0.92949456,False,1114
SDF4,0.0,0.5753802,0,0.6750547,0.76383317,0.8837725,False,4370
B3GALT6,0.0,0.09264432,0,0.09756607,0.10321685,0.9452533,False,940
C1QTNF12,0.0,0.01544072,0,0.016909974,0.016750634,1.0095125,False,138
UBE2J2,0.0,0.6221679,0,0.7268009,0.8397239,0.8655237,False,4647
LINC01786,0.0,0.0010474861,0,0.0010464294,0.0010878278,0.9619439,False,14
SCNN1D,0.0,0.00872905,0,0.008808379,0.009361501,0.94091517,False,77
ACAP3,0.0,0.23448169,0,0.29256228,0.2751543,1.0632663,False,1867
PUSL1,0.0,0.20825574,0,0.23798577,0.24143441,0.98571604,False,1680
INTS11,0.0,0.3217722,0,0.3482142,0.3905079,0.8916957,False,2779
CPTP,0.0,0.1646493,0,0.17029014,0.18716098,0.9098592,False,1540
DVL1,0.0,0.07697082,0,0.079894856,0.08535754,0.9360023,False,709
MXRA8,0.0,0.030959032,0,0.03551095,0.034079615,1.0419997,False,193
AURKAIP1,0.0,2.5075264,0,4.8856077,5.6598597,0.8632029,False,9188
CCNL2,0.0,0.31323713,0,0.3463404,0.37894687,0.913955,False,2754
MRPL20,0.0,1.9584497,0,3.229738,3.909159,0.8261977,False,8644
AL391244.3,0.0,0.0065952823,0,0.0068624173,0.0070530176,0.972976,False,80
ANKRD65,0.0,0.048999067,0,0.058937505,0.0540035,1.0913645,False,625
VWA1,0.0,0.05016294,0,0.053312875,0.055277366,0.96446115,False,416
